idiom_ru,definition_en,literal_en
вернемся к нашим баранам,let's return to our subject,return to our rams
льёт как из ведра,heavly rain,pours like from a bucket
водить за нос,"fool, trick",lead by the nose
мастер на все руки,guy who can do everything (in a good way),master of all hands
волосы дыбом,to make someone feel very frightened,hairs upright
ни рыба ни мясо,"not this, not that (like something in the middle which nobody wants)",neither fish nor meat
вот где собака зарыта,the essential part or cause of something,here is where the dog is buried
смотреть в оба,"be aware, looking out for something, be suspicious",look into both
всыпать по первое число,"to interrogate, scrutinize, or question someone intensely or thoroughly",to pour in up to the first number
проще пареной репы,easier than easy (super easy),simpler than steamed turnip
втирать очки,to deceive someone,rub in glasses
убить двух зайцев одним выстрелом,make two things with one action,kill two hares with one shot
глас вопиющего в пустыне,someone who expresses an idea or opinion that is not popular,voice of one crying in the desert
гол как сокол,very poor,naked as a falcon
голая правда,"the complete, unembellished truth.",naked truth
горе луковое,having to do with someone in the last period of a term in an elective office.,onion grief
двуликий янус,two-faced (janus),two-faced (janus)
дело в шляпе,"it's in the bag, it's a sure thing",the matter is in the hat
деньги не пахнут,"the source of money doesn't matter (it could be dirty money, but it doesn't smell)",money does not smell
довести до белого каления,to make somebody get very angry,to bring to white heat
египетские казни,very severe punishment (cruel and unusual),the egyptian plagues
зарубить на носу,"take that information and give it some thought, get it in your head",to carve it on one’s nose
как кур во щи (попасть),to be the person (as in drawing lots) to whom an unwelcome task or fate falls,to end up like a chicken in cabbage soup
калиф на час,king for a day,a caliph for an hour
козел отпущения,to make someone take the blame for something,a scapegoat
отложить в долгий ящик,"to shelve, put off for another time",to put off into a long box
разводить антимонии,to chat casually and without purpose.,to breed antimonies
сбоку припека,redundant,something baked onto the side
тертый калач,someone who is experienced at doing something,a rubbed roll
точить лясы,"casual or unconstrained conversation or reports about other people, typically involving details which are not confirmed as true.",to whittle balusters
филькина грамота,"useless scrap of paper (of promise, certificate)",filka’s letter
яблоко раздора,the subject or point of an argument; an unsettled point of disagreement.,the apple of discord
ящик пандоры,a source of unforeseen trouble,pandora’s box
в ногах правды нет,"there's no point in stadning, have a seat",there is no truth in the legs
кто рано встает тому бог подает,something that you say in order to tell someone that if they want to be successful they should do something immediately,to the one who gets up early god gives
в гостях хорошо а дома лучше,home is the best place to be no matter where it is.,it is good as a guest but better at home
цель оправдывает средства,"if a goal is morally important enough, any method of achieving it is acceptable.",the goal justifies the means
на вкус и цвет товарищей нет,each person has the right to make choices.,there are no comrades for taste and color
исключение подтверждает правило,to prove,the exception confirms the rule
все хорошо в свое время,everything is good when it's in season,everything is good in its time
запретный плод сладок,forbidden things have more worthwhile short-term consequences.,the forbidden fruit is sweet
яблоко от яблони недалеко падает,kids are like their parents,the apple does not fall far from the apple tree
нет дыма без огня,"something that you say which means that if people are saying that someone has done something bad but no one knows whether it is true, it probably is true",there is no smoke without fire
клин клином вышибается,use against your opponent the same methods he or she is using against you.,a wedge is knocked out by a wedge
от судьбы не уйти,"you set your mind on something and devote all your strength to do it, thou just may succeed.",you cannot escape fate
"не все то золото, что блестит",just because something looks attractive does not mean it is genuine or valuable.,not everything that glitters is gold
внешность обманчива,apperances can be deceiving,appearance is deceptive
каждый сам строитель своего счастья,every man is the forger of his own luck,everyone is the builder of their own happiness
лучше синица в руках чем журавль в небе,having something for certain is better than the possibility of getting something better.,better a titmouse in the hands than a crane in the sky
дареному коню в зубы не смотрят,to be ungrateful to someone who gives you something,one does not look at a gifted horse’s teeth
водой не разольёшь,"to have very good friends, to be always together",you can’t spill them apart even with water
как об стенку горох,the person you are speaking to does not listen,like peas against a wall
красный как рак,suffer embarrassment or shame,red like a crayfish
набрать в рот воды,"say nothing about this, it's a secret",to take water into one’s mouth
знать как свои пять пальцев,"a display of rejection, disdain, or contempt (for a person or thing)",to know like one’s five fingers
белая ворона,someone or something that is different from the other people or things in a group,a white crow
друг познаётся в беде,something that you say which means that someone who gives you help when you need it is a really good friend,a friend is known in trouble
без труда не вытащишь и рыбку из пруда,no exist sucess without hard work,"without effort,you will not pull even a fish out of the pond"
век живи век учись,to increase one's knowledge by experience.,live for a century learn for a century
будет и на нашей улице праздник,everyone gets a chance eventually.,there will be a holiday on our street too
"любовь зла, полюбишь и козла","when you love someone, you don't see any faults in the person",love is evil you may end up loving even a goat
за спрос не бьют в нос,"when one asks a question, even when the answer is known to be no",one is not beaten on the nose for asking
пьяному море по колено,"when a man is drunk, he does not fear anything",to a drunk person the sea is knee deep
до свадьбы заживёт,a person will survive after some problem,it will heal before the wedding
когда рак на горе свистнет,something that will not happen,when a crayfish whistles on the mountain
как гром среди ясного неба,it happens suddenly and you are not expecting it,like thunder from a clear sky
на воре и шапка горит,to say something so often that people doubt you are sincere,the thief’s hat is on fire
кот наплакал,very little,the cat has cried
по коням!,"let's go! (let's ride outta here, in the car)",to the horses
хоть шаром покати,"completely empty, nothing up there",you could roll a ball
мышь повесилась (в холодильнике),there's nothing to eat (in the fridge),a mouse has hanged itself (in the fridge)
выбивать из колеи,to forget what one was talking or thinking about,to knock out of the rut
заговаривать зубы,change the subject/butter up/charm away a problem,to talk to someone’s teeth
э´то eжу´ я´сно (это ежу понятно),anyone could see it,this is clear even to a hedgehog
быть начеку('),move faster!,to be on the hook
